name,gender,age,code,jobs
杜玉岱,男,58,601058,董事长/董事
延万华,男,45,601058,副董事长/董事
宋军,男,48,601058,董事
周天明,男,50,601058,董事
王建业,男,47,601058,董事
张必书,男,49,601058,董事
丁乃秀,女,43,601058,独立董事
谢岭,男,47,601058,独立董事
刘树国,男,39,601058,独立董事
程仁策,男,55,600219,董事长/董事
宋昌明,男,38,600219,董事
吕正风,男,53,600219,董事
刘强,男,50,600219,董事
刘春雷,男,41,600219,董事
宋建波,男,48,600219,董事
刘嘉厚,男,64,600219,独立董事
张焕平,男,60,600219,独立董事
黄利群,女,52,600219,独立董事
朱红玉,女,57,300345,董事长/董事
朱明楚,男,-1,300345,董事
罗德福,男,53,300345,董事
曾江洪,男,50,300345,独立董事
陈爱文,男,55,300345,独立董事
熊政平,男,55,300345,独立董事
汲广林,男,44,600649,董事长/董事
陈帅,男,44,600649,副董事长/董事
金建敏,男,59,600649,董事
苏凯,男,41,600649,董事
孙昌宇,男,48,600649,董事
全卓伟,女,46,600649,董事
盛雷鸣,男,48,600649,独立董事
薛涛,男,45,600649,独立董事
严杰,男,53,600649,独立董事
雷菊芳,女,65,2287,董事长/董事
刘凯列,男,54,2287,董事
索朗欧珠,男,53,2287,董事
骆燮龙,男,66,2287,董事
杜守颖,女,58,2287,独立董事
李春瑜,男,45,2287,独立董事
吴清功,男,53,2287,独立董事
李成刚,男,55,2268,董事长/董事
许晓平,男,52,2268,副董事长/董事
雷利民,男,54,2268,董事
卿昱,女,48,2268,董事
黄南平,男,54,2268,董事
王虎,男,34,2268,董事
曹德骏,男,65,2268,独立董事
沈逸,男,42,2268,独立董事
周玮,男,38,2268,独立董事
艾立华,男,60,603989,董事长/董事
王安安,女,52,603989,董事
殷宝华,男,49,603989,董事
艾立宇,男,56,603989,董事
古群,女,54,603989,独立董事
熊翔,男,55,603989,独立董事
徐莉萍,女,52,603989,独立董事
何宇飞,男,51,300200,董事长/董事
王子平,男,49,300200,副董事长/董事
熊海涛,女,54,300200,董事
张洋,男,50,300200,董事
杨栩,男,50,300200,独立董事
龙成凤,女,48,300200,独立董事
黄书敏,男,51,300200,独立董事
陈永洪,男,52,2638,董事长/董事
贾茜,女,35,2638,董事
邓军鸿,男,36,2638,董事
陈文星,男,54,2638,董事
黄锦波,男,51,2638,董事
仲长昊,男,37,2638,董事
王治强,男,54,2638,独立董事
鞠新华,男,68,2638,独立董事
钱可元,男,61,2638,独立董事
江波,男,45,605,董事长/董事
刘瑞深,男,56,605,副董事长/董事
徐宝平,男,53,605,董事
陶蕾,女,43,605,董事
周艺,女,36,605,董事
邢立斌,男,39,605,董事
韩晓萍,女,57,605,独立董事
郭家利,男,60,605,独立董事
朱虹,男,56,605,独立董事
邓颖忠,男,67,2511,董事长/董事
邓冠彪,男,40,2511,副董事长/董事
周启超,男,38,2511,董事
邓冠杰,男,34,2511,董事
刘金锋,男,42,2511,董事
曾怿,女,42,2511,董事
黄洪燕,男,48,2511,独立董事
何海地,男,50,2511,独立董事
葛光锐,女,51,2511,独立董事
王九全,男,66,300083,名誉董事长
夏军,男,43,300083,董事长/董事
王建,男,46,300083,副董事长/董事
何海江,男,40,300083,董事
吴春庚,男,45,300083,独立董事
郑毅,女,57,300083,独立董事
郑术建,男,52,600425,董事长/董事
宁沉浮,男,42,600425,董事
李云新,男,48,600425,董事
何云,男,51,600425,独立董事
边新俊,男,54,600425,独立董事
张磊,男,51,600425,独立董事
高鹏,男,37,600425,职工董事
柳志成,男,65,300129,名誉董事长/董事
张福林,男,53,300129,董事长/董事
黄京明,男,62,300129,副董事长/董事
邹涛,男,41,300129,董事
张锦楠,男,66,300129,董事
夏权光,男,64,300129,董事
窦建荣,男,50,300129,董事
程泓宁,男,26,300129,董事
金之俭,男,53,300129,独立董事
葛其泉,男,49,300129,独立董事
李苒洲,男,43,300129,独立董事
温从军,男,35,300129,独立董事
祁和生,男,57,300129,独立董事
陈文才,男,52,2141,董事长/董事
卢敏,男,38,2141,董事
张斌,男,44,2141,董事
张敏,男,41,2141,独立董事
张江峰,男,48,2141,独立董事
宋晓玲,女,48,600075,董事长/董事
张立,男,44,600075,董事
周军,男,48,600075,董事
操斌,男,48,600075,董事
石斌,男,52,600075,董事
黄东,男,46,600075,董事
全泽,男,47,600075,独立董事
张鑫,男,39,600075,独立董事
王东盛,男,38,600075,独立董事
刘勤强,男,58,600976,董事长/董事
徐胜,男,43,600976,董事
何勤,男,58,600976,董事
裴蓉,女,47,600976,董事
汪思洋,男,31,600976,董事
刘小斌,男,48,600976,董事
辛金国,男,56,600976,独立董事
杨世林,男,65,600976,独立董事
果德安,男,56,600976,独立董事
张越,男,45,890,董事长/董事
张文栋,男,45,890,董事
陈斌雷,男,34,890,董事
赵军,男,50,890,董事
周玲,女,39,890,董事
王建明,男,41,890,董事
张韵,女,32,890,董事
黄芳,女,43,890,董事
钟节平,男,41,890,独立董事
程龙生,男,54,890,独立董事
周辉,男,51,890,独立董事
李明辉,男,44,890,独立董事
霍达,男,50,600999,董事长/执行董事
王岩,男,52,600999,执行董事
熊剑涛,男,49,600999,执行董事
彭磊,女,45,600999,非执行董事
黄坚,男,48,600999,非执行董事
熊贤良,男,50,600999,非执行董事
苏敏,女,50,600999,非执行董事
王大雄,男,57,600999,非执行董事
粟健,男,46,600999,非执行董事
陈志刚,男,46,600999,非执行董事
向华,男,47,600999,独立非执行董事
肖厚发,男,50,600999,独立非执行董事
熊伟,男,42,600999,独立非执行董事
胡鸿高,男,63,600999,独立非执行董事
汪棣,男,59,600999,独立非执行董事
徐子瑛,女,49,600833,董事长/董事
孙伟,男,48,600833,副董事长/董事
史小龙,男,41,600833,董事
周晶波,男,35,600833,董事
赵陈斌,男,36,600833,董事
