from_id,property1,to_id
杜玉岱,董事长/董事,赛轮金宇
延万华,副董事长/董事,赛轮金宇
宋军,董事,赛轮金宇
周天明,董事,赛轮金宇
王建业,董事,赛轮金宇
张必书,董事,赛轮金宇
丁乃秀,独立董事,赛轮金宇
谢岭,独立董事,赛轮金宇
刘树国,独立董事,赛轮金宇
程仁策,董事长/董事,南山铝业
宋昌明,董事,南山铝业
吕正风,董事,南山铝业
刘强,董事,南山铝业
刘春雷,董事,南山铝业
宋建波,董事,南山铝业
刘嘉厚,独立董事,南山铝业
张焕平,独立董事,南山铝业
黄利群,独立董事,南山铝业
朱红玉,董事长/董事,红宇新材
朱明楚,董事,红宇新材
罗德福,董事,红宇新材
曾江洪,独立董事,红宇新材
陈爱文,独立董事,红宇新材
熊政平,独立董事,红宇新材
汲广林,董事长/董事,城投控股
陈帅,副董事长/董事,城投控股
金建敏,董事,城投控股
苏凯,董事,城投控股
孙昌宇,董事,城投控股
全卓伟,董事,城投控股
盛雷鸣,独立董事,城投控股
薛涛,独立董事,城投控股
严杰,独立董事,城投控股
雷菊芳,董事长/董事,奇正藏药
刘凯列,董事,奇正藏药
索朗欧珠,董事,奇正藏药
骆燮龙,董事,奇正藏药
杜守颖,独立董事,奇正藏药
李春瑜,独立董事,奇正藏药
吴清功,独立董事,奇正藏药
李成刚,董事长/董事,卫士通
许晓平,副董事长/董事,卫士通
雷利民,董事,卫士通
卿昱,董事,卫士通
黄南平,董事,卫士通
王虎,董事,卫士通
曹德骏,独立董事,卫士通
沈逸,独立董事,卫士通
周玮,独立董事,卫士通
艾立华,董事长/董事,艾华集团
王安安,董事,艾华集团
殷宝华,董事,艾华集团
艾立宇,董事,艾华集团
古群,独立董事,艾华集团
熊翔,独立董事,艾华集团
徐莉萍,独立董事,艾华集团
何宇飞,董事长/董事,高盟新材
王子平,副董事长/董事,高盟新材
熊海涛,董事,高盟新材
张洋,董事,高盟新材
杨栩,独立董事,高盟新材
龙成凤,独立董事,高盟新材
黄书敏,独立董事,高盟新材
陈永洪,董事长/董事,勤上股份
贾茜,董事,勤上股份
邓军鸿,董事,勤上股份
陈文星,董事,勤上股份
黄锦波,董事,勤上股份
仲长昊,董事,勤上股份
王治强,独立董事,勤上股份
鞠新华,独立董事,勤上股份
钱可元,独立董事,勤上股份
江波,董事长/董事,渤海股份
刘瑞深,副董事长/董事,渤海股份
徐宝平,董事,渤海股份
陶蕾,董事,渤海股份
周艺,董事,渤海股份
邢立斌,董事,渤海股份
韩晓萍,独立董事,渤海股份
郭家利,独立董事,渤海股份
朱虹,独立董事,渤海股份
邓颖忠,董事长/董事,中顺洁柔
邓冠彪,副董事长/董事,中顺洁柔
周启超,董事,中顺洁柔
邓冠杰,董事,中顺洁柔
刘金锋,董事,中顺洁柔
曾怿,董事,中顺洁柔
黄洪燕,独立董事,中顺洁柔
何海地,独立董事,中顺洁柔
葛光锐,独立董事,中顺洁柔
王九全,名誉董事长,劲胜智能
夏军,董事长/董事,劲胜智能
王建,副董事长/董事,劲胜智能
何海江,董事,劲胜智能
吴春庚,独立董事,劲胜智能
郑毅,独立董事,劲胜智能
郑术建,董事长/董事,*ST青松
宁沉浮,董事,*ST青松
李云新,董事,*ST青松
何云,独立董事,*ST青松
边新俊,独立董事,*ST青松
张磊,独立董事,*ST青松
高鹏,职工董事,*ST青松
柳志成,名誉董事长/董事,泰胜风能
张福林,董事长/董事,泰胜风能
黄京明,副董事长/董事,泰胜风能
邹涛,董事,泰胜风能
张锦楠,董事,泰胜风能
夏权光,董事,泰胜风能
窦建荣,董事,泰胜风能
程泓宁,董事,泰胜风能
金之俭,独立董事,泰胜风能
葛其泉,独立董事,泰胜风能
李苒洲,独立董事,泰胜风能
温从军,独立董事,泰胜风能
祁和生,独立董事,泰胜风能
陈文才,董事长/董事,贤丰控股
卢敏,董事,贤丰控股
张斌,董事,贤丰控股
张敏,独立董事,贤丰控股
张江峰,独立董事,贤丰控股
宋晓玲,董事长/董事,新疆天业
张立,董事,新疆天业
周军,董事,新疆天业
操斌,董事,新疆天业
石斌,董事,新疆天业
黄东,董事,新疆天业
全泽,独立董事,新疆天业
张鑫,独立董事,新疆天业
王东盛,独立董事,新疆天业
刘勤强,董事长/董事,健民集团
徐胜,董事,健民集团
何勤,董事,健民集团
裴蓉,董事,健民集团
汪思洋,董事,健民集团
刘小斌,董事,健民集团
辛金国,独立董事,健民集团
杨世林,独立董事,健民集团
果德安,独立董事,健民集团
张越,董事长/董事,法尔胜
张文栋,董事,法尔胜
陈斌雷,董事,法尔胜
赵军,董事,法尔胜
周玲,董事,法尔胜
王建明,董事,法尔胜
张韵,董事,法尔胜
黄芳,董事,法尔胜
钟节平,独立董事,法尔胜
程龙生,独立董事,法尔胜
周辉,独立董事,法尔胜
李明辉,独立董事,法尔胜
霍达,董事长/执行董事,招商证券
王岩,执行董事,招商证券
熊剑涛,执行董事,招商证券
彭磊,非执行董事,招商证券
黄坚,非执行董事,招商证券
熊贤良,非执行董事,招商证券
苏敏,非执行董事,招商证券
王大雄,非执行董事,招商证券
粟健,非执行董事,招商证券
陈志刚,非执行董事,招商证券
向华,独立非执行董事,招商证券
肖厚发,独立非执行董事,招商证券
熊伟,独立非执行董事,招商证券
胡鸿高,独立非执行董事,招商证券
汪棣,独立非执行董事,招商证券
徐子瑛,董事长/董事,第一医药
孙伟,副董事长/董事,第一医药
史小龙,董事,第一医药
周晶波,董事,第一医药
赵陈斌,董事,第一医药
朱洪超,独立董事,第一医药
江宪,独立董事,第一医药
刘涛,独立董事,第一医药
胡宇,董事长/董事,金自天正
杨光浩,董事,金自天正
吴子利,董事,金自天正
李江,董事,金自天正
郝晓东,董事,金自天正
高达,董事,金自天正
王清峰,独立董事,金自天正
孙建科,独立董事,金自天正
耿芙蓉,独立董事,金自天正
陈焕雄,董事长/董事,松芝股份
纪安康,副董事长/董事,松芝股份
陈楚辉,董事,松芝股份
杨国平,董事,松芝股份
陈智颖,董事,松芝股份
阎广兴,董事,松芝股份
凌玉章,独立董事,松芝股份
刘榕,独立董事,松芝股份
徐士英,独立董事,松芝股份
徐立华,董事长/董事,波导股份
刘方明,董事,波导股份
戴茂余,董事,波导股份
王海霖,董事,波导股份
胡左浩,独立董事,波导股份
刘舟宏,独立董事,波导股份
张恒顺,独立董事,波导股份
王宏,董事长/非执行董事,中集集团
王宇航,副董事长/非执行董事,中集集团
麦伯良,执行董事,中集集团
刘冲,非执行董事,中集集团
胡贤甫,非执行董事,中集集团
潘承伟,独立非执行董事,中集集团
王桂埙,独立非执行董事,中集集团
潘正启,独立非执行董事,中集集团
张松山,董事长/董事,华邦健康
彭云辉,董事,华邦健康
王榕,董事,华邦健康
王加荣,董事,华邦健康
于俊田,董事,华邦健康
梁爽,独立董事,华邦健康
武文生,独立董事,华邦健康
郝颖,独立董事,华邦健康
刘建荣,董事长/董事,韶钢松山
张永生,董事,韶钢松山
刘二,董事,韶钢松山
卢学云,董事,韶钢松山
赖晓敏,董事,韶钢松山
王少杰,董事,韶钢松山
严鸽群,董事,韶钢松山
游达明,独立董事,韶钢松山
林睦翔,独立董事,韶钢松山
莫玲,独立董事,韶钢松山
冯育升,独立董事,韶钢松山
张庆文,董事长/董事,邦讯技术
戴芙蓉,副董事长/董事,邦讯技术
郑志伟,董事,邦讯技术
张丽红,董事,邦讯技术
夏志宏,独立董事,邦讯技术
陈长源,独立董事,邦讯技术
罗建钢,独立董事,邦讯技术
徐永模,董事长/董事,华新Ｂ股
李叶青,董事,华新Ｂ股
刘凤山,董事,华新Ｂ股
IanRiley,董事,华新Ｂ股
RolandKoehler,董事,华新Ｂ股
GeraldinePicaud,董事,华新Ｂ股
刘艳,独立董事,华新Ｂ股
王立彦,独立董事,华新Ｂ股
SimonMackinnon,独立董事,华新Ｂ股
高俊芳,董事长/董事,长生生物
张洺豪,副董事长/董事,长生生物
赵春志,董事,长生生物
张晶,董事,长生生物
王祥明,董事,长生生物
刘良文,董事,长生生物
马东光,独立董事,长生生物
徐泓,独立董事,长生生物
沈义,独立董事,长生生物
倪永培,董事长/董事,迎驾贡酒
杨照兵,董事,迎驾贡酒
叶玉琼,董事,迎驾贡酒
张丹丹,董事,迎驾贡酒
秦海,董事,迎驾贡酒
潘剑,董事,迎驾贡酒
於恒强,独立董事,迎驾贡酒
许立新,独立董事,迎驾贡酒
宋书玉,独立董事,迎驾贡酒
唐炳泉,董事长/董事,双象股份
