code,name
600007,中国国贸
600114,东睦股份
600132,重庆啤酒
600182,S佳通
600595,中孚实业
600641,万业企业
600779,水井坊
600801,华新水泥
600819,耀皮玻璃
1,平安银行
5,世纪星源
541,佛山照明
608,阳光股份
659,*ST中富
869,张 裕Ａ
895,双汇发展
932,*ST华菱
935,四川双马
2032,苏 泊 尔
2047,宝鹰股份
600023,浙能电力
600089,特变电工
600202,哈空调
600226,瀚叶股份
600269,赣粤高速
600292,远达环保
600307,酒钢宏兴
600328,兰太实业
600416,湘电股份
600483,福能股份
600516,方大炭素
600550,保变电气
600558,大西洋
600622,光大嘉宝
600642,申能股份
600848,上海临港
600875,东方电气
600973,宝胜股份
601106,*ST一重
601179,中国西电
601369,陕鼓动力
601611,中国核建
601727,上海电气
601877,正泰电器
601985,中国核电
601991,大唐发电
603100,川仪股份
603169,兰石重装
603308,应流股份
603699,纽威股份
777,中核科技
825,太钢不锈
881,中广核技
883,湖北能源
899,赣能股份
922,*ST佳电
967,盈峰环境
969,安泰科技
993,闽东电力
2011,盾安环境
2058,威 尔 泰
2130,沃尔核材
2149,西部材料
2167,东方锆业
2212,南洋股份
2227,奥 特 迅
2248,*ST东数
2255,海陆重工
2266,浙富控股
2276,万马股份
2318,久立特材
2364,中恒电气
2366,台海核电
2438,江苏神通
2478,常宝股份
2534,杭锅股份
2564,天沃科技
2665,首航节能
300004,南风股份
300084,海默科技
300092,科新机电
300153,科泰电源
300185,通裕重工
300411,金盾股份
300489,中飞股份
600209,罗顿发展
600515,海航基础
600759,洲际油气
600896,览海投资
601118,海南橡胶
99,中信海直
505,珠江控股
566,海南海药
567,海德股份
613,*ST东海A
691,亚太实业
735,罗 牛 山
886,海南高速
2320,海峡股份
2596,海南瑞泽
600071,凤凰光学
600271,航天信息
600288,大恒科技
600602,云赛智联
601933,永辉超市
61,农 产 品
530,大冷股份
701,厦门信达
997,新 大 陆
2030,达安基因
2161,远 望 谷
2299,圣农发展
2477,雏鹰农牧
2512,达华智能
2637,赞宇科技
300012,华测检测
300020,银江股份
300165,天瑞仪器
300203,聚光科技
300260,新莱应材
300271,华宇软件
300306,远方信息
600067,冠城大通
600071,凤凰光学
600076,康欣新材
600096,云天化
600110,诺德股份
600111,北方稀土
600135,乐凯胶片
600139,西部资源
600175,美都能源
600192,长城电工
600210,紫江企业
600212,江泉实业
600232,金鹰股份
600241,时代万恒
600255,梦舟股份
600273,嘉化能源
600336,澳柯玛
600367,红星发展
600390,五矿资本
600405,动力源
600470,六国化工
600478,科力远
600482,中国动力
600499,科达洁能
600522,中天科技
600549,厦门钨业
600580,卧龙电气
600773,西藏城投
600854,春兰股份
600869,智慧能源
600872,中炬高新
600884,杉杉股份
601012,隆基股份
601168,西部矿业
601311,骆驼股份
603026,石大胜华
603077,和邦生物
9,中国宝安
49,德赛电池
413,东旭光电
559,万向钱潮
571,新大洲Ａ
636,风华高科
733,振华科技
760,斯太尔
762,西藏矿业
839,中信国安
913,钱江摩托
962,东方钽业
969,安泰科技
973,佛塑科技
2012,凯恩股份
2045,国光电器
2056,横店东磁
2057,中钢天源
2070,*ST众和
2074,国轩高科
2077,大港股份
2080,中材科技
2085,万丰奥威
2091,江苏国泰
2108,沧州明珠
2121,科陆电子
2139,拓邦股份
2165,红 宝 丽
2171,楚江新材
2176,江特电机
2190,成飞集成
2192,融捷股份
2206,海 利 得
2240,威华股份
2263,大 东 南
2340,格林美
2341,新纶科技
2389,南洋科技
2407,多氟多
2411,必康股份
2426,胜利精密
2427,尤夫股份
